problem_size,block_size,grid_size,cpu_time,gpu_time,errors
131072,768,1,0.849000,0.842000,0
131072,768,1,0.849000,0.841000,0
131072,768,1,0.849000,0.842000,0
131072,768,1,1.412000,0.903000,0
131072,768,1,0.851000,0.842000,0
131072,768,1,0.850000,0.840000,0
131072,800,1,0.851000,0.816000,0
131072,800,1,0.850000,0.816000,0
131072,800,1,0.851000,0.817000,0
131072,800,1,0.843000,0.816000,0
131072,800,1,0.849000,0.817000,0
131072,800,1,0.843000,0.816000,0
131072,800,1,0.849000,0.816000,0
131072,800,1,0.849000,0.817000,0
131072,800,1,1.416000,0.870000,0
131072,800,1,0.852000,0.818000,0
131072,832,1,1.087000,0.799000,0
131072,832,1,0.854000,0.801000,0
131072,832,1,0.972000,0.799000,0
131072,832,1,0.852000,0.801000,0
131072,832,1,0.851000,0.800000,0
131072,832,1,1.413000,0.830000,0
131072,832,1,1.227000,0.799000,0
131072,832,1,0.849000,0.800000,0
131072,832,1,0.847000,0.800000,0
131072,832,1,0.849000,0.800000,0
131072,864,1,1.414000,0.779000,0
131072,864,1,0.850000,0.781000,0
131072,864,1,0.843000,0.781000,0
131072,864,1,0.849000,0.781000,0
131072,864,1,0.851000,0.781000,0
131072,864,1,0.973000,0.779000,0
131072,864,1,0.847000,0.782000,0
131072,864,1,0.850000,0.780000,0
131072,864,1,0.973000,0.780000,0
131072,864,1,0.848000,0.780000,0
131072,896,1,0.850000,0.767000,0
131072,896,1,0.854000,0.767000,0
131072,896,1,1.413000,0.766000,0
131072,896,1,0.850000,0.768000,0
131072,896,1,0.844000,0.767000,0
131072,896,1,0.850000,0.766000,0
131072,896,1,0.848000,0.768000,0
131072,896,1,0.851000,0.769000,0
131072,896,1,0.849000,0.767000,0
131072,896,1,0.848000,0.767000,0
131072,928,1,0.851000,0.750000,0
131072,928,1,0.850000,0.752000,0
131072,928,1,0.842000,0.843000,0
131072,928,1,1.417000,0.759000,0
131072,928,1,0.841000,0.751000,0
131072,928,1,0.849000,0.751000,0
131072,928,1,0.848000,0.751000,0
131072,928,1,0.849000,0.753000,0
131072,928,1,0.852000,0.752000,0
131072,928,1,1.406000,0.755000,0
131072,960,1,0.849000,0.736000,0
131072,960,1,0.851000,0.737000,0
131072,960,1,0.848000,0.737000,0
131072,960,1,0.844000,0.736000,0
131072,960,1,0.850000,0.736000,0
131072,960,1,1.410000,0.735000,0
131072,960,1,0.871000,0.736000,0
131072,960,1,0.848000,0.736000,0
131072,960,1,0.844000,0.736000,0
131072,960,1,0.846000,0.737000,0
131072,992,1,0.854000,0.724000,0
131072,992,1,1.229000,0.724000,0
131072,992,1,0.850000,0.726000,0
131072,992,1,0.849000,0.725000,0
131072,992,1,0.851000,0.725000,0
131072,992,1,0.850000,0.724000,0
131072,992,1,1.026000,0.724000,0
131072,992,1,0.849000,0.729000,0
131072,992,1,0.851000,0.724000,0
131072,992,1,0.849000,0.724000,0
131072,1024,1,1.026000,0.709000,0
131072,1024,1,0.845000,0.710000,0
131072,1024,1,1.413000,0.707000,0
131072,1024,1,1.407000,0.709000,0
131072,1024,1,0.850000,0.710000,0
131072,1024,1,0.843000,0.710000,0
131072,1024,1,0.851000,0.710000,0
131072,1024,1,0.850000,0.710000,0
131072,1024,1,1.407000,0.707000,0
131072,1024,1,0.847000,0.710000,0
262144,32,1,1.692000,28.908001,0
262144,32,1,1.694000,28.910000,0
262144,32,1,1.693000,28.907000,0
262144,32,1,2.809000,40.984001,0
262144,32,1,1.696000,28.909000,0
262144,32,1,1.688000,28.908001,0
262144,32,1,1.689000,28.909000,0
262144,32,1,1.938000,31.129000,0
262144,32,1,1.693000,28.910000,0
262144,32,1,1.685000,28.906000,0
262144,64,1,1.693000,14.605000,0
262144,64,1,1.686000,14.605000,0
262144,64,1,2.813000,20.392000,0
262144,64,1,1.690000,14.606000,0
262144,64,1,1.691000,14.607000,0
262144,64,1,1.694000,17.955000,0
262144,64,1,1.688000,14.604000,0
262144,64,1,1.692000,14.606000,0
262144,64,1,1.685000,14.604000,0
262144,64,1,1.694000,14.603000,0
262144,96,1,1.693000,9.848000,0
262144,96,1,1.693000,9.847000,0
262144,96,1,1.696000,9.849000,0
262144,96,1,1.693000,9.848000,0
262144,96,1,1.688000,9.848000,0
262144,96,1,1.690000,9.849000,0
262144,96,1,1.690000,9.847000,0
262144,96,1,1.691000,9.892000,0
262144,96,1,2.824000,13.610000,0
262144,96,1,1.695000,9.846000,0
262144,128,1,1.691000,7.470000,0
262144,128,1,1.697000,7.472000,0
262144,128,1,1.689000,7.471000,0
262144,128,1,2.817000,10.277000,0
262144,128,1,1.694000,7.471000,0
262144,128,1,1.691000,7.471000,0
262144,128,1,1.699000,7.472000,0
262144,128,1,1.697000,7.472000,0
262144,128,1,2.818000,10.167000,0
262144,128,1,2.751000,9.942000,0
262144,160,1,1.694000,6.068000,0
262144,160,1,1.693000,6.067000,0
262144,160,1,1.696000,6.068000,0
262144,160,1,1.701000,6.069000,0
262144,160,1,1.694000,7.654000,0
262144,160,1,1.698000,6.068000,0
262144,160,1,1.938000,6.065000,0
262144,160,1,1.897000,6.067000,0
262144,160,1,1.698000,6.070000,0
262144,160,1,2.819000,8.139000,0
262144,192,1,1.695000,5.130000,0
262144,192,1,1.693000,5.131000,0
262144,192,1,1.695000,5.130000,0
262144,192,1,1.699000,5.129000,0
262144,192,1,1.694000,5.130000,0
262144,192,1,1.698000,5.130000,0
262144,192,1,1.691000,5.131000,0
262144,192,1,1.695000,5.129000,0
262144,192,1,1.692000,5.130000,0
262144,192,1,1.696000,5.130000,0
262144,224,1,2.810000,5.927000,0
262144,224,1,1.689000,4.460000,0
262144,224,1,1.695000,4.459000,0
262144,224,1,1.691000,4.457000,0
262144,224,1,1.698000,4.453000,0
